"D06942" "D06943" "D06944" "D06945" "D06946" "D06947" "D06948" "D06949" "D06950" "D06951" "D06952" "D06953" "D06954" "D06955" "D06956" "D06957" "D06958" "D06959" "D06960" "D06961" "D06962" "D06963" "D06964" "D06965" "D06966" "D06967" "D06969" "D06970" "D06971" "D06973" "D06974" "D06975" "D06976" "D06977" "D06978" "D06979" "D06980" "D06981" "D06982" "D06987" "D06988" "D06989" "D06990" "D06991" "D06992" "D06993" "D06994" "D06995" "D06996" "D06997" "D06999" "D07000" "D07001" "D07002" "D07003" "D07028" "D07029" "D07030" "D07031" "D07032" "D07033"
"Subtercola" 0 0 0 0 0 0 0 0 0 353 0 419 0 2022 0 0 0 23 0 61 0 14 160 0 805 247 128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15
"Achromobacter" 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 92 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acidovorax" 0 0 0 0 0 0 0 0 0 0 4 0 0 232 0 0 0 0 1443 281 1609 995 97 0 43 1846 104 0 0 0 0 0 628 394 0 0 36 0 730 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 35
"Alcaligenes" 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chryseobacterium" 0 0 0 0 0 0 0 0 0 0 5 15 0 964 10 132 6 0 688 283 115 188 385 26 52 1472 826 0 358 0 82 0 664 2606 0 0 54 0 476 0 0 0 0 0 0 0 0 0 46 0 0 0 4 0 0 72 0 0 0 25 1008
"Erysipelothrix" 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Janthinobacterium" 0 0 0 0 0 0 0 0 0 0 65 17 173 131 5193 621 23 0 1023 1283 111 5444 124 101 112 1702 936 0 0 0 0 0 210 664 0 0 0 0 666 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 66 496
"Leucobacter" 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Massilia" 0 0 0 0 0 0 0 0 0 0 3 0 0 8 811 3227 0 0 1384 64 62 1165 36 0 0 194 132 0 0 0 0 0 310 1858 28 0 86 0 1610 0 0 0 0 0 0 0 0 0 58 0 0 0 0 0 0 0 0 0 0 12 778
"Mycetocola" 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 4 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
