"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"91" "Clavibacter" 0.00304379256553666 0.0166715384851095 0 0
"92" "Clostridium sensu stricto 1" 10.8528071797349 21.1503894340378 20.0197553850377 17.1337034368614
"93" "Clostridium sensu stricto 9" 0.0111966792287946 0.0613267378276034 0 0
"94" "Cnuella" 0 0 0.00032592133888486 0.00181465321572897
"95" "Comamonas" 0.777402886840758 1.66733155834231 0.00827383742441581 0.0294209359579633
"96" "Commensalibacter" 0 0 0.000629376527024799 0.0035042201979704
"97" "Conyzicola" 0.0180472198071523 0.0626392839443077 0 0
"98" "Coprococcus 2" 0.000383612091453123 0.0021011299582061 0 0
"99" "Corynebacterium" 0 0 0.00344545415392566 0.019183476851992
"100" "Corynebacterium 1" 0 0 0.0129204530772212 0.0719380381949699
"101" "Coxiella" 0.007696096539835 0.0421532567960508 0 0
"102" "Cronobacter" 0.00661268991090017 0.0217261589829725 0.00102399918823181 0.00406425348661493
"103" "Cryobacterium" 0.00739522428740833 0.0268604512182096 0 0
"104" "Cupriavidus" 0 0 0.00407143603389893 0.0226687964550845
"105" "Curvibacter" 0.0173252527247643 0.0926878559591704 0.00775227184633275 0.043162822916982
"106" "Cytophaga" 0.00522840238992965 0.0199354359190335 0 0
"107" "Deefgea" 0.000420088638702766 0.00230092023569143 0 0
"108" "Defluviimonas" 0.00115061557933494 0.00630218107818624 0 0
"109" "Delftia" 0.0175613766388212 0.0665869045373821 0.00200984825645664 0.0111903614969953
"110" "Dermacoccus" 0 0 0.000344876939286139 0.00192019353211926
"111" "Desulfovibrio" 0 0 0.000517315408929209 0.00288029029817889
"112" "Devosia" 0.345441713635891 1.16943586332187 0.000389543104892272 0.00216888421720535
"113" "Dialister" 0 0 0.00114848471797522 0.00639449228399733
"114" "Diaminobutyricimonas" 0.00151175612705866 0.00828022932236672 0 0
"115" "Diaphorobacter" 0.00775017812667251 0.0238563688301172 0 0
"116" "Dielma" 0.00118152101138199 0.00647145710100232 0.00303697887936233 0.0118879393530186
"117" "Dokdonella" 0.0104666912941756 0.0573284292426291 0 0
"118" "Dongia" 0.0751139022287896 0.411415786329456 0 0
"119" "DSSD61" 0.0086196281246152 0.0472116476115769 0 0
"120" "Duganella" 0.202254806394977 0.577675416902233 0.00100700244323968 0.00560675231675264
"121" "Dyadobacter" 0.257208941740306 0.820155503920083 0.0426717285322813 0.237586129422393
"122" "Dyella" 0.0027705947543406 0.0151751724465783 0 0
"123" "Dysgonomonas" 0.0260342453464448 0.0864576117559698 0 0
"124" "Ellin6067" 0.0070804088166482 0.0387809962523668 0 0
"125" "Empedobacter" 0.0208940793522922 0.105322960502528 0 0
"126" "Endobacter" 0.000656400561878881 0.00359525394500129 0 0
